,city,cluster 1 probability,hpa_3yr_pred,mhv,md_retax,hpa_3yr_pred_scaled,mhv_scaled,md_retax_scaled,state,region,own_pct,grrent_yield,rent,percap_inc,monthly income to rent,inc. to rent scaled,home ownership scaled,num. neighborhoods,pop_est_5mile,pop_est_25mile,pop_ch_5mile,pop_ch_25mile,density_total,pop_est_5mile_scaled,pop_est_25mile_scaled,pop_ch_5mile_scaled,pop_ch_25mile_scaled,density_total_scaled,cluster 2 probability,cluster 3 probability,cluster 4 probability,cluster 5 probability
42,"Asheville, NC",0.3739130434782609,0.0224598260869565,268357.5,1888.5,-0.8789987317112313,0.5768507534087273,-0.1978860393628425,NC,South,65.01,9.94,1753.91,31545.46,1.52,0.49,-0.05,46,35351.0,347142.5,1.364127695652174,5.335784891304348,18.297924891304348,1.1429729518544145,0.5057851986526275,0.1744006234611521,0.6482841897654038,0.2153194755886612,0.283,0.196,0.004,0.143
43,"Ashland, PA",0.475,0.126639375,153319.5,2170.0,-0.2029080352533868,-0.3060100851114187,-0.0297992530680693,PA,Northeast,72.9,11.48,927.2,25873.0,2.35,-0.23,0.58,8,3014.0,206423.5,-4.015313875,-1.23801225,1.261342375,-0.6804544524993267,0.0056521411735076,-0.4147185959006796,-0.5451459705610366,-0.5209320599721112,0.388,0.0,0.0,0.1
44,"Ashtabula, OH",0.4842105263157895,0.3316154210526316,129895.0,1795.0,1.127318474448347,-0.4857817580535348,-0.2537159310806445,OH,Midwest,62.45,12.5,957.92,23429.77,2.08,-0.54,-0.26,19,15628.0,110390.0,-1.3395345789473685,-1.6196914736842103,6.608384684210527,0.0308271530459648,-0.3356630186515412,-0.1216857616609781,-0.6144373538093398,-0.2898547234759505,0.115,0.261,0.024,0.091
45,"Ashville, OH",0.92,0.0844515,291607.0,3302.0,-0.4766933423354313,0.7552793862533015,0.6461305589592243,OH,Midwest,83.73,7.99,1280.25,32015.5,2.11,0.55,1.45,10,8342.5,648896.0,8.3798431,3.296565,0.3581931,-0.3799895694211527,1.5782551604916517,0.9427132313761584,0.2780770675332542,-0.5599624840564593,0.062,0.0,0.0,0.0
46,"Athens, AL",0.4375,0.2360245625,175505.5,620.0,0.5069655279425438,-0.1357432988024776,-0.9553215221867136,AL,South,68.67,8.19,1004.08,26861.23,2.25,-0.1,0.24,16,15625.0,386157.5,-3.7475704375,9.2943401875,12.99483075,0.0306579882436312,0.6444494247880311,-0.3853971871972608,1.366934184624005,-0.0138586005320668,0.282,0.191,0.027,0.018
47,"Athens, OH",0.2285714285714286,0.1213534285714285,192124.0,2812.0,-0.2372120732303093,-0.0082043738824769,0.3535460996894594,OH,Midwest,61.83,8.09,1056.43,30148.14,2.4,0.31,-0.31,7,15653.0,90101.0,-5.827719,-4.56662,3.1156532857142856,0.032236859732078,-0.4077726811931586,-0.6132006647890936,-1.1494330812457654,-0.4407963136090172,0.2,0.086,0.0,0.486
48,"Athens, TN",0.3142857142857143,0.2718761428571428,185700.0,883.0,0.73963038573538,-0.0575054572345294,-0.7982812920072274,TN,South,67.36,8.46,1067.0,23324.83,1.81,-0.55,0.14,7,13648.0,153845.0,-0.1960985714285712,2.9903955714285715,10.971842142857144,-0.0808216164942029,-0.1812184730482101,0.0035354382149817,0.2224939969922981,-0.1012839082195366,0.489,0.044,0.044,0.044
49,"Athens-Clarke County, GA",0.2705882352941176,0.2174290882352941,214513.5,2047.5,0.3862870715875186,0.1636241761970342,-0.1029453678855106,GA,South,51.22,7.95,1117.73,28113.97,2.06,0.06,-1.16,34,59995.5,321769.5,3.023708058823529,8.467839735294117,49.99988638235294,2.5326336088911146,0.4156063594950318,0.3561463818598634,1.2168883973896532,1.5853488113275376,0.178,0.294,0.039,0.2
50,"Atlanta, GA",0.4688622754491018,0.1733910209580838,259240.0,2418.0,0.1004946306838051,0.506878364326794,0.1182843099909136,GA,South,70.78,9.89,1865.18,32800.22,1.48,0.65,0.41,334,69185.0,1585825.0,1.319694982035928,7.272748949101796,28.997154982035926,3.050813592572616,4.9082188854389175,0.1695346601049301,0.9999274297916844,0.677696514885151,0.222,0.219,0.029,0.057
51,"Atlantic City, NJ",0.3032258064516129,0.1436640322580645,288751.0,7681.0,-0.0924236599354605,0.7333609718614176,3.260880247004736,NJ,Northeast,72.6,10.95,2132.42,41271.64,1.64,1.72,0.56,32,40206.0,291466.5,-1.21951196875,1.511791875,48.79600475,1.4167379902976038,0.3079056791264265,-0.1085417158531395,-0.0459368974447471,1.533321962656157,0.11,0.31,0.006,0.271
52,"Atoka, TN",0.6000000000000001,0.0562176666666666,237483.0,1923.0,-0.659921550185908,0.3399039448855414,-0.1772857049856855,TN,South,76.3,9.4,1393.43,32112.14,1.92,0.56,0.85,9,12599.0,467452.0,-9.679590888888889,0.172165,2.644800222222222,-0.1399729090435141,0.933380321406372,-1.0350310221711332,-0.2891374528990094,-0.4611446605082712,0.2,0.2,0.0,0.062
